setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"664,204",0.310756
0,0,300000,100%,raw-br-immed-retired,"10,559,407",0.310756
0,0,300000,100%,raw-br-immed-spec,"10,559,407",0.310756
0,0,300000,100%,raw-br-indirect-spec,"64,094",0.310756
0,0,300000,100%,raw-br-mis-pred,"934,509",0.310756
0,0,300000,100%,raw-br-mis-pred-retired,"940,194",0.310756
0,0,300000,100%,raw-br-pred,"9,642,297",0.288917
0,0,300000,100%,raw-br-retired,"10,823,607",0.288917
0,0,300000,100%,raw-br-return-retired,"488,141",0.288917
0,0,300000,100%,raw-br-return-spec,"488,141",0.288917
0,0,300000,100%,raw-bus-access,"6,240,973",0.288917
0,0,300000,100%,raw-bus-access-normal,0,0.288917
0,0,300000,100%,raw-bus-access-not-shared,0,0.287759
0,0,300000,100%,raw-bus-access-periph,0,0.287759
0,0,300000,100%,raw-bus-access-rd,"2,887,222",0.287759
0,0,300000,100%,raw-bus-access-shared,0,0.287759
0,0,300000,100%,raw-bus-access-wr,"3,185,418",0.287759
0,0,300000,100%,raw-bus-cycles,"83,796,793",0.287759
0,0,300000,100%,raw-cid-write-retired,1,0.289499
0,0,300000,100%,raw-cnt-cycles,0,0.289499
0,0,300000,100%,raw-cpu-cycles,"84,059,379",0.289499
0,0,300000,100%,raw-crypto-spec,0,0.289499
0,0,300000,100%,raw-dmb-spec,0,0.289499
0,0,300000,100%,raw-dp-spec,"24,998,171",0.288138
0,0,300000,100%,raw-dsb-spec,0,0.288138
0,0,300000,100%,raw-dtlb-walk,"3,111",0.288138
0,0,300000,100%,raw-exc-dabort,0,0.288138
0,0,300000,100%,raw-exc-fiq,0,0.288138
0,0,300000,100%,raw-exc-hvc,0,0.288138
0,0,300000,100%,raw-exc-irq,97,0.288941
0,0,300000,100%,raw-exc-pabort,0,0.288941
0,0,300000,100%,raw-exc-return,"1,857",0.288941
0,0,300000,100%,raw-exc-smc,0,0.288941
0,0,300000,100%,raw-exc-svc,0,0.288941
0,0,300000,100%,raw-exc-taken,"1,857",0.288941
0,0,300000,100%,raw-exc-trap-dabort,0,0.286922
0,0,300000,100%,raw-exc-trap-fiq,0,0.286922
0,0,300000,100%,raw-exc-trap-irq,0,0.286922
0,0,300000,100%,raw-exc-trap-other,0,0.286922
0,0,300000,100%,raw-exc-trap-pabort,0,0.286922
0,0,300000,100%,raw-exc-undef,0,0.286922
0,0,300000,100%,raw-inst-retired,"59,850,336",0.289185
0,0,300000,100%,raw-inst-spec,"63,049,972",0.289185
0,0,300000,100%,raw-isb-spec,0,0.289185
0,0,300000,100%,raw-itlb-walk,"1,258",0.289185
0,0,300000,100%,raw-l1d-cache,"19,044,631",0.289185
0,0,300000,100%,raw-l1d-cache-allocate,0,0.289185
0,0,300000,100%,raw-l1d-cache-inval,0,0.287952
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,0.287952
0,0,300000,100%,raw-l1d-cache-rd,"16,707,529",0.287952
0,0,300000,100%,raw-l1d-cache-refill,"1,041,050",0.287952
0,0,300000,100%,raw-l1d-cache-refill-inner,"1,028,824",0.287952
0,0,300000,100%,raw-l1d-cache-refill-outer,"25,305",0.287952
0,0,300000,100%,raw-l1d-cache-refill-rd,"834,420",0.288185
0,0,300000,100%,raw-l1d-cache-refill-wr,"207,371",0.288185
0,0,300000,100%,raw-l1d-cache-wb,"1,343,577",0.288185
0,0,300000,100%,raw-l1d-cache-wb-clean,0,0.288185
0,0,300000,100%,raw-l1d-cache-wb-victim,0,0.288185
0,0,300000,100%,raw-l1d-cache-wr,"2,314,111",0.288185
0,0,300000,100%,raw-l1d-tlb,"18,963,759",0.285976
0,0,300000,100%,raw-l1d-tlb-rd,0,0.285976
0,0,300000,100%,raw-l1d-tlb-refill,"410,593",0.285976
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,0.285976
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,0.285976
0,0,300000,100%,raw-l1d-tlb-wr,0,0.285976
0,0,300000,100%,raw-l1i-cache,"44,499,896",0.286875
0,0,300000,100%,raw-l1i-cache-lmiss,0,0.286875
0,0,300000,100%,raw-l1i-cache-refill,"279,712",0.286875
0,0,300000,100%,raw-l1i-tlb,"49,599,484",0.286875
0,0,300000,100%,raw-l1i-tlb-refill,"91,660",0.286875
0,0,300000,100%,raw-l2d-cache,"3,238,147",0.286875
0,0,300000,100%,raw-l2d-cache-allocate,"1,453,590",0.286202
0,0,300000,100%,raw-l2d-cache-inval,0,0.286202
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,0.286202
0,0,300000,100%,raw-l2d-cache-rd,"1,770,251",0.286202
0,0,300000,100%,raw-l2d-cache-refill,"725,307",0.286202
0,0,300000,100%,raw-l2d-cache-refill-rd,"720,215",0.286202
0,0,300000,100%,raw-l2d-cache-refill-wr,"5,615",0.289038
0,0,300000,100%,raw-l2d-cache-wb,"803,504",0.289038
0,0,300000,100%,raw-l2d-cache-wb-clean,0,0.289038
0,0,300000,100%,raw-l2d-cache-wb-victim,0,0.289038
0,0,300000,100%,raw-l2d-cache-wr,"1,462,762",0.289038
0,0,300000,100%,raw-l2d-tlb,"537,114",0.289038
0,0,300000,100%,raw-l2d-tlb-rd,0,0.287427
0,0,300000,100%,raw-l2d-tlb-refill,"4,371",0.287427
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,0.287427
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,0.287427
0,0,300000,100%,raw-l2d-tlb-wr,0,0.287427
0,0,300000,100%,raw-l2i-cache,0,0.287427
0,0,300000,100%,raw-l2i-cache-lmiss,0,0.284869
0,0,300000,100%,raw-l2i-cache-refill,0,0.284869
0,0,300000,100%,raw-l2i-tlb,0,0.284869
0,0,300000,100%,raw-l2i-tlb-refill,0,0.284869
0,0,300000,100%,raw-l3d-cache,"1,427,035",0.284869
0,0,300000,100%,raw-l3d-cache-allocate,"734,177",0.284869
0,0,300000,100%,raw-l3d-cache-inval,0,0.286544
