setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"11,826,612",12.172239
0,0,300000,100%,raw-br-immed-retired,"378,605,193",12.172239
0,0,300000,100%,raw-br-immed-spec,"378,605,193",12.172239
0,0,300000,100%,raw-br-indirect-spec,"18,818,917",12.172239
0,0,300000,100%,raw-br-mis-pred,"22,671,007",12.172239
0,0,300000,100%,raw-br-mis-pred-retired,"22,921,722",12.172239
0,0,300000,100%,raw-br-pred,"351,918,332",12.103833
0,0,300000,100%,raw-br-retired,"461,578,096",12.103833
0,0,300000,100%,raw-br-return-retired,"63,855,392",12.103833
0,0,300000,100%,raw-br-return-spec,"63,855,392",12.103833
0,0,300000,100%,raw-bus-access,"80,121,015",12.103833
0,0,300000,100%,raw-bus-access-normal,0,12.103833
0,0,300000,100%,raw-bus-access-not-shared,0,12.090132
0,0,300000,100%,raw-bus-access-periph,0,12.090132
0,0,300000,100%,raw-bus-access-rd,"39,716,579",12.090132
0,0,300000,100%,raw-bus-access-shared,0,12.090132
0,0,300000,100%,raw-bus-access-wr,"41,631,116",12.090132
0,0,300000,100%,raw-bus-cycles,"3,611,092,205",12.090132
0,0,300000,100%,raw-cid-write-retired,1,12.118252
0,0,300000,100%,raw-cnt-cycles,0,12.118252
0,0,300000,100%,raw-cpu-cycles,"3,619,593,848",12.118252
0,0,300000,100%,raw-crypto-spec,0,12.118252
0,0,300000,100%,raw-dmb-spec,0,12.118252
0,0,300000,100%,raw-dp-spec,"851,684,070",12.078978
0,0,300000,100%,raw-dsb-spec,0,12.078978
0,0,300000,100%,raw-dtlb-walk,"5,027",12.078978
0,0,300000,100%,raw-exc-dabort,0,12.078978
0,0,300000,100%,raw-exc-fiq,1,12.078978
0,0,300000,100%,raw-exc-hvc,0,12.078978
0,0,300000,100%,raw-exc-irq,"3,653",12.127190
0,0,300000,100%,raw-exc-pabort,0,12.127190
0,0,300000,100%,raw-exc-return,"7,366",12.127190
0,0,300000,100%,raw-exc-smc,0,12.127190
0,0,300000,100%,raw-exc-svc,0,12.127190
0,0,300000,100%,raw-exc-taken,"7,368",12.127190
0,0,300000,100%,raw-exc-trap-dabort,0,12.074855
0,0,300000,100%,raw-exc-trap-fiq,0,12.074855
0,0,300000,100%,raw-exc-trap-irq,0,12.074855
0,0,300000,100%,raw-exc-trap-other,0,12.074855
0,0,300000,100%,raw-exc-trap-pabort,0,12.074855
0,0,300000,100%,raw-exc-undef,0,12.074855
0,0,300000,100%,raw-inst-retired,"2,862,711,723",12.047784
0,0,300000,100%,raw-inst-spec,"2,939,560,030",12.047784
0,0,300000,100%,raw-isb-spec,0,12.047784
0,0,300000,100%,raw-itlb-walk,"3,402",12.047784
0,0,300000,100%,raw-l1d-cache,"1,163,437,598",12.047784
0,0,300000,100%,raw-l1d-cache-allocate,0,12.047784
0,0,300000,100%,raw-l1d-cache-inval,0,12.087064
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,12.087064
