setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"191,255",0.094631
0,0,300000,100%,raw-br-immed-retired,"3,001,600",0.094631
0,0,300000,100%,raw-br-immed-spec,"3,001,600",0.094631
0,0,300000,100%,raw-br-indirect-spec,"141,730",0.094631
0,0,300000,100%,raw-br-mis-pred,"186,568",0.094631
0,0,300000,100%,raw-br-mis-pred-retired,"188,883",0.094631
0,0,300000,100%,raw-br-pred,"2,638,370",0.075363
0,0,300000,100%,raw-br-retired,"3,207,619",0.075363
0,0,300000,100%,raw-br-return-retired,"340,121",0.075363
0,0,300000,100%,raw-br-return-spec,"340,121",0.075363
0,0,300000,100%,raw-bus-access,"1,641,087",0.075363
0,0,300000,100%,raw-bus-access-normal,0,0.075363
0,0,300000,100%,raw-bus-access-not-shared,0,0.073972
0,0,300000,100%,raw-bus-access-periph,0,0.073972
0,0,300000,100%,raw-bus-access-rd,"736,606",0.073972
0,0,300000,100%,raw-bus-access-shared,0,0.073972
0,0,300000,100%,raw-bus-access-wr,"866,890",0.073972
0,0,300000,100%,raw-bus-cycles,"20,364,506",0.073972
0,0,300000,100%,raw-cid-write-retired,1,0.074129
0,0,300000,100%,raw-cnt-cycles,0,0.074129
0,0,300000,100%,raw-cpu-cycles,"20,394,032",0.074129
0,0,300000,100%,raw-crypto-spec,0,0.074129
0,0,300000,100%,raw-dmb-spec,0,0.074129
0,0,300000,100%,raw-dp-spec,"7,777,477",0.074056
0,0,300000,100%,raw-dsb-spec,0,0.074056
0,0,300000,100%,raw-dtlb-walk,"2,413",0.074056
0,0,300000,100%,raw-exc-dabort,0,0.074056
0,0,300000,100%,raw-exc-fiq,0,0.074056
0,0,300000,100%,raw-exc-hvc,0,0.074056
0,0,300000,100%,raw-exc-irq,28,0.074219
0,0,300000,100%,raw-exc-pabort,0,0.074219
0,0,300000,100%,raw-exc-return,"1,477",0.074219
0,0,300000,100%,raw-exc-smc,0,0.074219
0,0,300000,100%,raw-exc-svc,0,0.074219
0,0,300000,100%,raw-exc-taken,"1,477",0.074219
0,0,300000,100%,raw-exc-trap-dabort,0,0.074058
0,0,300000,100%,raw-exc-trap-fiq,0,0.074058
0,0,300000,100%,raw-exc-trap-irq,0,0.074058
0,0,300000,100%,raw-exc-trap-other,0,0.074058
0,0,300000,100%,raw-exc-trap-pabort,0,0.074058
0,0,300000,100%,raw-exc-undef,0,0.074058
0,0,300000,100%,raw-inst-retired,"15,567,669",0.073945
0,0,300000,100%,raw-inst-spec,"16,020,534",0.073945
0,0,300000,100%,raw-isb-spec,0,0.073945
0,0,300000,100%,raw-itlb-walk,998,0.073945
0,0,300000,100%,raw-l1d-cache,"4,378,380",0.073945
0,0,300000,100%,raw-l1d-cache-allocate,0,0.073945
0,0,300000,100%,raw-l1d-cache-inval,0,0.072893
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,0.072893
0,0,300000,100%,raw-l1d-cache-rd,"3,896,274",0.072893
0,0,300000,100%,raw-l1d-cache-refill,"104,077",0.072893
0,0,300000,100%,raw-l1d-cache-refill-inner,"92,291",0.072893
0,0,300000,100%,raw-l1d-cache-refill-outer,"16,890",0.072893
0,0,300000,100%,raw-l1d-cache-refill-rd,"85,852",0.073890
0,0,300000,100%,raw-l1d-cache-refill-wr,"18,743",0.073890
0,0,300000,100%,raw-l1d-cache-wb,"142,274",0.073890
0,0,300000,100%,raw-l1d-cache-wb-clean,0,0.073890
0,0,300000,100%,raw-l1d-cache-wb-victim,0,0.073890
0,0,300000,100%,raw-l1d-cache-wr,"470,050",0.073890
0,0,300000,100%,raw-l1d-tlb,"4,366,907",0.073751
0,0,300000,100%,raw-l1d-tlb-rd,0,0.073751
0,0,300000,100%,raw-l1d-tlb-refill,"120,043",0.073751
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,0.073751
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,0.073751
0,0,300000,100%,raw-l1d-tlb-wr,0,0.073751
0,0,300000,100%,raw-l1i-cache,"11,010,202",0.073188
0,0,300000,100%,raw-l1i-cache-lmiss,0,0.073188
0,0,300000,100%,raw-l1i-cache-refill,"152,220",0.073188
0,0,300000,100%,raw-l1i-tlb,"13,711,971",0.073188
0,0,300000,100%,raw-l1i-tlb-refill,"22,183",0.073188
0,0,300000,100%,raw-l2d-cache,"559,436",0.073188
0,0,300000,100%,raw-l2d-cache-allocate,"181,613",0.073887
0,0,300000,100%,raw-l2d-cache-inval,0,0.073887
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,0.073887
0,0,300000,100%,raw-l2d-cache-rd,"374,269",0.073887
0,0,300000,100%,raw-l2d-cache-refill,"186,455",0.073887
0,0,300000,100%,raw-l2d-cache-refill-rd,"184,197",0.073887
0,0,300000,100%,raw-l2d-cache-refill-wr,"2,351",0.073615
0,0,300000,100%,raw-l2d-cache-wb,"209,546",0.073615
0,0,300000,100%,raw-l2d-cache-wb-clean,0,0.073615
0,0,300000,100%,raw-l2d-cache-wb-victim,0,0.073615
0,0,300000,100%,raw-l2d-cache-wr,"184,736",0.073615
0,0,300000,100%,raw-l2d-tlb,"151,878",0.073615
0,0,300000,100%,raw-l2d-tlb-rd,0,0.073039
0,0,300000,100%,raw-l2d-tlb-refill,"3,493",0.073039
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,0.073039
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,0.073039
0,0,300000,100%,raw-l2d-tlb-wr,0,0.073039
0,0,300000,100%,raw-l2i-cache,0,0.073039
0,0,300000,100%,raw-l2i-cache-lmiss,0,0.074123
0,0,300000,100%,raw-l2i-cache-refill,0,0.074123
0,0,300000,100%,raw-l2i-tlb,0,0.074123
0,0,300000,100%,raw-l2i-tlb-refill,0,0.074123
0,0,300000,100%,raw-l3d-cache,"394,388",0.074123
0,0,300000,100%,raw-l3d-cache-allocate,"207,100",0.074123
0,0,300000,100%,raw-l3d-cache-inval,0,0.074179
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,0.074179
0,0,300000,100%,raw-l3d-cache-rd,"186,764",0.074179
0,0,300000,100%,raw-l3d-cache-refill,"36,558",0.074179
