setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"191,186",0.073234
0,0,300000,100%,raw-br-immed-retired,"1,903,693",0.073234
0,0,300000,100%,raw-br-immed-spec,"1,903,693",0.073234
0,0,300000,100%,raw-br-indirect-spec,"18,763",0.073234
0,0,300000,100%,raw-br-mis-pred,"163,183",0.073234
0,0,300000,100%,raw-br-mis-pred-retired,"165,277",0.073234
0,0,300000,100%,raw-br-pred,"1,590,837",0.055233
0,0,300000,100%,raw-br-retired,"1,915,060",0.055233
0,0,300000,100%,raw-br-return-retired,"155,958",0.055233
0,0,300000,100%,raw-br-return-spec,"155,958",0.055233
0,0,300000,100%,raw-bus-access,"1,380,807",0.055233
0,0,300000,100%,raw-bus-access-normal,0,0.055233
0,0,300000,100%,raw-bus-access-not-shared,0,0.055532
0,0,300000,100%,raw-bus-access-periph,0,0.055532
0,0,300000,100%,raw-bus-access-rd,"642,244",0.055532
0,0,300000,100%,raw-bus-access-shared,0,0.055532
0,0,300000,100%,raw-bus-access-wr,"765,237",0.055532
0,0,300000,100%,raw-bus-cycles,"15,009,118",0.055532
0,0,300000,100%,raw-cid-write-retired,1,0.055793
0,0,300000,100%,raw-cnt-cycles,0,0.055793
0,0,300000,100%,raw-cpu-cycles,"15,154,891",0.055793
0,0,300000,100%,raw-crypto-spec,0,0.055793
0,0,300000,100%,raw-dmb-spec,0,0.055793
0,0,300000,100%,raw-dp-spec,"4,643,020",0.055388
0,0,300000,100%,raw-dsb-spec,0,0.055388
0,0,300000,100%,raw-dtlb-walk,"2,361",0.055388
0,0,300000,100%,raw-exc-dabort,0,0.055388
0,0,300000,100%,raw-exc-fiq,0,0.055388
0,0,300000,100%,raw-exc-hvc,0,0.055388
0,0,300000,100%,raw-exc-irq,21,0.055906
0,0,300000,100%,raw-exc-pabort,0,0.055906
0,0,300000,100%,raw-exc-return,"1,422",0.055906
0,0,300000,100%,raw-exc-smc,0,0.055906
0,0,300000,100%,raw-exc-svc,0,0.055906
0,0,300000,100%,raw-exc-taken,"1,422",0.055906
0,0,300000,100%,raw-exc-trap-dabort,0,0.055344
0,0,300000,100%,raw-exc-trap-fiq,0,0.055344
0,0,300000,100%,raw-exc-trap-irq,0,0.055344
0,0,300000,100%,raw-exc-trap-other,0,0.055344
0,0,300000,100%,raw-exc-trap-pabort,0,0.055344
0,0,300000,100%,raw-exc-undef,0,0.055344
0,0,300000,100%,raw-inst-retired,"9,611,655",0.056220
0,0,300000,100%,raw-inst-spec,"10,028,432",0.056220
0,0,300000,100%,raw-isb-spec,0,0.056220
0,0,300000,100%,raw-itlb-walk,928,0.056220
0,0,300000,100%,raw-l1d-cache,"2,939,437",0.056220
0,0,300000,100%,raw-l1d-cache-allocate,0,0.056220
0,0,300000,100%,raw-l1d-cache-inval,0,0.054907
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,0.054907
0,0,300000,100%,raw-l1d-cache-rd,"2,540,952",0.054907
0,0,300000,100%,raw-l1d-cache-refill,"90,354",0.054907
0,0,300000,100%,raw-l1d-cache-refill-inner,"79,164",0.054907
0,0,300000,100%,raw-l1d-cache-refill-outer,"15,997",0.054907
0,0,300000,100%,raw-l1d-cache-refill-rd,"73,117",0.055586
0,0,300000,100%,raw-l1d-cache-refill-wr,"17,037",0.055586
0,0,300000,100%,raw-l1d-cache-wb,"117,872",0.055586
0,0,300000,100%,raw-l1d-cache-wb-clean,0,0.055586
0,0,300000,100%,raw-l1d-cache-wb-victim,0,0.055586
0,0,300000,100%,raw-l1d-cache-wr,"393,273",0.055586
0,0,300000,100%,raw-l1d-tlb,"2,929,315",0.055013
0,0,300000,100%,raw-l1d-tlb-rd,0,0.055013
0,0,300000,100%,raw-l1d-tlb-refill,"111,108",0.055013
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,0.055013
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,0.055013
0,0,300000,100%,raw-l1d-tlb-wr,0,0.055013
0,0,300000,100%,raw-l1i-cache,"7,478,864",0.056701
0,0,300000,100%,raw-l1i-cache-lmiss,0,0.056701
0,0,300000,100%,raw-l1i-cache-refill,"141,605",0.056701
0,0,300000,100%,raw-l1i-tlb,"9,973,038",0.056701
0,0,300000,100%,raw-l1i-tlb-refill,"19,622",0.056701
0,0,300000,100%,raw-l2d-cache,"496,390",0.056701
0,0,300000,100%,raw-l2d-cache-allocate,"157,005",0.055980
0,0,300000,100%,raw-l2d-cache-inval,0,0.055980
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,0.055980
0,0,300000,100%,raw-l2d-cache-rd,"335,729",0.055980
0,0,300000,100%,raw-l2d-cache-refill,"162,892",0.055980
0,0,300000,100%,raw-l2d-cache-refill-rd,"160,635",0.055980
0,0,300000,100%,raw-l2d-cache-refill-wr,"2,233",0.055503
0,0,300000,100%,raw-l2d-cache-wb,"179,087",0.055503
0,0,300000,100%,raw-l2d-cache-wb-clean,0,0.055503
0,0,300000,100%,raw-l2d-cache-wb-victim,0,0.055503
0,0,300000,100%,raw-l2d-cache-wr,"158,485",0.055503
0,0,300000,100%,raw-l2d-tlb,"148,305",0.055503
0,0,300000,100%,raw-l2d-tlb-rd,0,0.055357
0,0,300000,100%,raw-l2d-tlb-refill,"3,365",0.055357
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,0.055357
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,0.055357
0,0,300000,100%,raw-l2d-tlb-wr,0,0.055357
0,0,300000,100%,raw-l2i-cache,0,0.055357
0,0,300000,100%,raw-l2i-cache-lmiss,0,0.055785
0,0,300000,100%,raw-l2i-cache-refill,0,0.055785
0,0,300000,100%,raw-l2i-tlb,0,0.055785
0,0,300000,100%,raw-l2i-tlb-refill,0,0.055785
0,0,300000,100%,raw-l3d-cache,"346,287",0.055785
0,0,300000,100%,raw-l3d-cache-allocate,"182,496",0.055785
0,0,300000,100%,raw-l3d-cache-inval,0,0.055673
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,0.055673
0,0,300000,100%,raw-l3d-cache-rd,"159,594",0.055673
0,0,300000,100%,raw-l3d-cache-refill,"32,613",0.055673
0,0,300000,100%,raw-l3d-cache-refill-rd,"32,613",0.055673
0,0,300000,100%,raw-l3d-cache-refill-wr,0,0.055673
0,0,300000,100%,raw-l3d-cache-wb,0,0.055735
0,0,300000,100%,raw-l3d-cache-wb-clean,0,0.055735
0,0,300000,100%,raw-l3d-cache-wb-victim,0,0.055735
0,0,300000,100%,raw-l3d-cache-wr,0,0.055735
0,0,300000,100%,raw-ld-retired,"1,959,046",0.055735
0,0,300000,100%,raw-ld-spec,"2,032,151",0.055735
0,0,300000,100%,raw-ldrex-spec,0,0.056000
0,0,300000,100%,raw-ldst-spec,"3,209,842",0.056000
0,0,300000,100%,raw-ll-cache,0,0.056000
0,0,300000,100%,raw-ll-cache-miss,0,0.056000
0,0,300000,100%,raw-ll-cache-miss-rd,"33,192",0.056000
0,0,300000,100%,raw-ll-cache-rd,"162,724",0.056000
0,0,300000,100%,raw-mem-access,"3,777,067",0.055464
0,0,300000,100%,raw-mem-access-rd,"2,471,762",0.055464
0,0,300000,100%,raw-mem-access-wr,"1,305,305",0.055464
0,0,300000,100%,raw-memory-error,0,0.055464
0,0,300000,100%,raw-op-retired,0,0.055464
0,0,300000,100%,raw-op-spec,0,0.055464
0,0,300000,100%,raw-pc-write-retired,"1,072,206",0.056258
0,0,300000,100%,raw-pc-write-spec,"1,966,887",0.056258
