setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"480,250",0.580835
0,0,300000,100%,raw-br-immed-retired,"54,554,346",0.580835
0,0,300000,100%,raw-br-immed-spec,"54,554,346",0.580835
0,0,300000,100%,raw-br-indirect-spec,"23,746",0.580835
0,0,300000,100%,raw-br-mis-pred,"811,390",0.580835
0,0,300000,100%,raw-br-mis-pred-retired,"813,765",0.580835
0,0,300000,100%,raw-br-pred,"53,826,887",0.570263
0,0,300000,100%,raw-br-retired,"54,961,638",0.570263
0,0,300000,100%,raw-br-return-retired,"509,810",0.570263
0,0,300000,100%,raw-br-return-spec,"509,810",0.570263
0,0,300000,100%,raw-bus-access,"2,068,473",0.570263
0,0,300000,100%,raw-bus-access-normal,0,0.570263
0,0,300000,100%,raw-bus-access-not-shared,0,0.570960
0,0,300000,100%,raw-bus-access-periph,0,0.570960
0,0,300000,100%,raw-bus-access-rd,"965,244",0.570960
0,0,300000,100%,raw-bus-access-shared,0,0.570960
0,0,300000,100%,raw-bus-access-wr,"1,145,132",0.570960
0,0,300000,100%,raw-bus-cycles,"169,196,411",0.570960
0,0,300000,100%,raw-cid-write-retired,1,0.572288
0,0,300000,100%,raw-cnt-cycles,0,0.572288
0,0,300000,100%,raw-cpu-cycles,"169,637,962",0.572288
0,0,300000,100%,raw-crypto-spec,0,0.572288
0,0,300000,100%,raw-dmb-spec,0,0.572288
0,0,300000,100%,raw-dp-spec,"108,444,541",0.570866
0,0,300000,100%,raw-dsb-spec,0,0.570866
0,0,300000,100%,raw-dtlb-walk,"2,324",0.570866
0,0,300000,100%,raw-exc-dabort,0,0.570866
0,0,300000,100%,raw-exc-fiq,0,0.570866
0,0,300000,100%,raw-exc-hvc,0,0.570866
0,0,300000,100%,raw-exc-irq,169,0.571255
0,0,300000,100%,raw-exc-pabort,0,0.571255
0,0,300000,100%,raw-exc-return,"1,583",0.571255
0,0,300000,100%,raw-exc-smc,0,0.571255
0,0,300000,100%,raw-exc-svc,0,0.571255
0,0,300000,100%,raw-exc-taken,"1,583",0.571255
0,0,300000,100%,raw-exc-trap-dabort,0,0.569534
0,0,300000,100%,raw-exc-trap-fiq,0,0.569534
0,0,300000,100%,raw-exc-trap-irq,0,0.569534
0,0,300000,100%,raw-exc-trap-other,0,0.569534
0,0,300000,100%,raw-exc-trap-pabort,0,0.569534
0,0,300000,100%,raw-exc-undef,0,0.569534
0,0,300000,100%,raw-inst-retired,"213,330,638",0.571691
0,0,300000,100%,raw-inst-spec,"216,348,427",0.571691
0,0,300000,100%,raw-isb-spec,0,0.571691
0,0,300000,100%,raw-itlb-walk,969,0.571691
0,0,300000,100%,raw-l1d-cache,"39,374,123",0.571691
0,0,300000,100%,raw-l1d-cache-allocate,0,0.571691
0,0,300000,100%,raw-l1d-cache-inval,0,0.570082
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,0.570082
0,0,300000,100%,raw-l1d-cache-rd,"34,217,430",0.570082
0,0,300000,100%,raw-l1d-cache-refill,"544,170",0.570082
0,0,300000,100%,raw-l1d-cache-refill-inner,"535,293",0.570082
0,0,300000,100%,raw-l1d-cache-refill-outer,"14,822",0.570082
0,0,300000,100%,raw-l1d-cache-refill-rd,"483,590",0.571274
0,0,300000,100%,raw-l1d-cache-refill-wr,"58,044",0.571274
0,0,300000,100%,raw-l1d-cache-wb,"690,699",0.571274
0,0,300000,100%,raw-l1d-cache-wb-clean,0,0.571274
0,0,300000,100%,raw-l1d-cache-wb-victim,0,0.571274
0,0,300000,100%,raw-l1d-cache-wr,"5,191,312",0.571274
0,0,300000,100%,raw-l1d-tlb,"39,431,999",0.570163
0,0,300000,100%,raw-l1d-tlb-rd,0,0.570163
0,0,300000,100%,raw-l1d-tlb-refill,"160,635",0.570163
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,0.570163
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,0.570163
0,0,300000,100%,raw-l1d-tlb-wr,0,0.570163
0,0,300000,100%,raw-l1i-cache,"141,947,918",0.570991
0,0,300000,100%,raw-l1i-cache-lmiss,0,0.570991
0,0,300000,100%,raw-l1i-cache-refill,"235,986",0.570991
0,0,300000,100%,raw-l1i-tlb,"146,111,638",0.570991
0,0,300000,100%,raw-l1i-tlb-refill,"23,931",0.570991
0,0,300000,100%,raw-l2d-cache,"1,780,517",0.570991
0,0,300000,100%,raw-l2d-cache-allocate,"748,382",0.571469
0,0,300000,100%,raw-l2d-cache-inval,0,0.571469
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,0.571469
0,0,300000,100%,raw-l2d-cache-rd,"1,067,658",0.571469
