setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"191,073",0.072718
0,0,300000,100%,raw-br-immed-retired,"2,054,449",0.072718
0,0,300000,100%,raw-br-immed-spec,"2,054,449",0.072718
0,0,300000,100%,raw-br-indirect-spec,"23,539",0.072718
0,0,300000,100%,raw-br-mis-pred,"172,139",0.072718
0,0,300000,100%,raw-br-mis-pred-retired,"174,269",0.072718
0,0,300000,100%,raw-br-pred,"1,690,233",0.056458
0,0,300000,100%,raw-br-retired,"2,033,129",0.056458
0,0,300000,100%,raw-br-return-retired,"163,582",0.056458
0,0,300000,100%,raw-br-return-spec,"163,582",0.056458
0,0,300000,100%,raw-bus-access,"1,422,977",0.056458
0,0,300000,100%,raw-bus-access-normal,0,0.056458
0,0,300000,100%,raw-bus-access-not-shared,0,0.055682
0,0,300000,100%,raw-bus-access-periph,0,0.055682
0,0,300000,100%,raw-bus-access-rd,"623,840",0.055682
0,0,300000,100%,raw-bus-access-shared,0,0.055682
0,0,300000,100%,raw-bus-access-wr,"749,509",0.055682
0,0,300000,100%,raw-bus-cycles,"15,274,523",0.055682
0,0,300000,100%,raw-cid-write-retired,1,0.056316
0,0,300000,100%,raw-cnt-cycles,0,0.056316
0,0,300000,100%,raw-cpu-cycles,"15,408,711",0.056316
0,0,300000,100%,raw-crypto-spec,0,0.056316
0,0,300000,100%,raw-dmb-spec,0,0.056316
0,0,300000,100%,raw-dp-spec,"4,883,802",0.055755
0,0,300000,100%,raw-dsb-spec,0,0.055755
0,0,300000,100%,raw-dtlb-walk,"2,220",0.055755
0,0,300000,100%,raw-exc-dabort,0,0.055755
0,0,300000,100%,raw-exc-fiq,0,0.055755
0,0,300000,100%,raw-exc-hvc,0,0.055755
0,0,300000,100%,raw-exc-irq,16,0.056996
0,0,300000,100%,raw-exc-pabort,0,0.056996
0,0,300000,100%,raw-exc-return,"1,435",0.056996
0,0,300000,100%,raw-exc-smc,0,0.056996
0,0,300000,100%,raw-exc-svc,0,0.056996
0,0,300000,100%,raw-exc-taken,"1,435",0.056996
0,0,300000,100%,raw-exc-trap-dabort,0,0.056870
0,0,300000,100%,raw-exc-trap-fiq,0,0.056870
0,0,300000,100%,raw-exc-trap-irq,0,0.056870
0,0,300000,100%,raw-exc-trap-other,0,0.056870
0,0,300000,100%,raw-exc-trap-pabort,0,0.056870
0,0,300000,100%,raw-exc-undef,0,0.056870
0,0,300000,100%,raw-inst-retired,"10,054,678",0.056341
0,0,300000,100%,raw-inst-spec,"10,478,288",0.056341
0,0,300000,100%,raw-isb-spec,0,0.056341
0,0,300000,100%,raw-itlb-walk,848,0.056341
0,0,300000,100%,raw-l1d-cache,"3,018,718",0.056341
0,0,300000,100%,raw-l1d-cache-allocate,0,0.056341
0,0,300000,100%,raw-l1d-cache-inval,0,0.056321
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,0.056321
0,0,300000,100%,raw-l1d-cache-rd,"2,623,831",0.056321
0,0,300000,100%,raw-l1d-cache-refill,"92,124",0.056321
0,0,300000,100%,raw-l1d-cache-refill-inner,"80,862",0.056321
0,0,300000,100%,raw-l1d-cache-refill-outer,"16,060",0.056321
0,0,300000,100%,raw-l1d-cache-refill-rd,"74,297",0.056370
0,0,300000,100%,raw-l1d-cache-refill-wr,"17,439",0.056370
0,0,300000,100%,raw-l1d-cache-wb,"121,098",0.056370
0,0,300000,100%,raw-l1d-cache-wb-clean,0,0.056370
0,0,300000,100%,raw-l1d-cache-wb-victim,0,0.056370
0,0,300000,100%,raw-l1d-cache-wr,"397,948",0.056370
0,0,300000,100%,raw-l1d-tlb,"2,997,768",0.056018
0,0,300000,100%,raw-l1d-tlb-rd,0,0.056018
0,0,300000,100%,raw-l1d-tlb-refill,"109,676",0.056018
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,0.056018
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,0.056018
0,0,300000,100%,raw-l1d-tlb-wr,0,0.056018
0,0,300000,100%,raw-l1i-cache,"7,735,475",0.056503
0,0,300000,100%,raw-l1i-cache-lmiss,0,0.056503
0,0,300000,100%,raw-l1i-cache-refill,"141,867",0.056503
0,0,300000,100%,raw-l1i-tlb,"10,227,006",0.056503
0,0,300000,100%,raw-l1i-tlb-refill,"19,313",0.056503
0,0,300000,100%,raw-l2d-cache,"496,869",0.056503
0,0,300000,100%,raw-l2d-cache-allocate,"163,242",0.056996
0,0,300000,100%,raw-l2d-cache-inval,0,0.056996
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,0.056996
0,0,300000,100%,raw-l2d-cache-rd,"343,863",0.056996
0,0,300000,100%,raw-l2d-cache-refill,"165,703",0.056996
0,0,300000,100%,raw-l2d-cache-refill-rd,"163,339",0.056996
0,0,300000,100%,raw-l2d-cache-refill-wr,"2,279",0.056280
0,0,300000,100%,raw-l2d-cache-wb,"185,892",0.056280
0,0,300000,100%,raw-l2d-cache-wb-clean,0,0.056280
0,0,300000,100%,raw-l2d-cache-wb-victim,0,0.056280
0,0,300000,100%,raw-l2d-cache-wr,"163,772",0.056280
0,0,300000,100%,raw-l2d-tlb,"148,957",0.056280
0,0,300000,100%,raw-l2d-tlb-rd,0,0.055958
0,0,300000,100%,raw-l2d-tlb-refill,"3,101",0.055958
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,0.055958
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,0.055958
0,0,300000,100%,raw-l2d-tlb-wr,0,0.055958
0,0,300000,100%,raw-l2i-cache,0,0.055958
0,0,300000,100%,raw-l2i-cache-lmiss,0,0.056485
0,0,300000,100%,raw-l2i-cache-refill,0,0.056485
0,0,300000,100%,raw-l2i-tlb,0,0.056485
0,0,300000,100%,raw-l2i-tlb-refill,0,0.056485
0,0,300000,100%,raw-l3d-cache,"350,501",0.056485
0,0,300000,100%,raw-l3d-cache-allocate,"184,926",0.056485
0,0,300000,100%,raw-l3d-cache-inval,0,0.056124
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,0.056124
0,0,300000,100%,raw-l3d-cache-rd,"160,649",0.056124
0,0,300000,100%,raw-l3d-cache-refill,"32,619",0.056124
0,0,300000,100%,raw-l3d-cache-refill-rd,"32,619",0.056124
0,0,300000,100%,raw-l3d-cache-refill-wr,0,0.056124
0,0,300000,100%,raw-l3d-cache-wb,0,0.056262
0,0,300000,100%,raw-l3d-cache-wb-clean,0,0.056262
0,0,300000,100%,raw-l3d-cache-wb-victim,0,0.056262
0,0,300000,100%,raw-l3d-cache-wr,0,0.056262
0,0,300000,100%,raw-ld-retired,"2,007,937",0.056262
0,0,300000,100%,raw-ld-spec,"2,081,673",0.056262
0,0,300000,100%,raw-ldrex-spec,0,0.056295
0,0,300000,100%,raw-ldst-spec,"3,292,172",0.056295
0,0,300000,100%,raw-ll-cache,0,0.056295
0,0,300000,100%,raw-ll-cache-miss,0,0.056295
0,0,300000,100%,raw-ll-cache-miss-rd,"32,628",0.056295
0,0,300000,100%,raw-ll-cache-rd,"161,150",0.056295
0,0,300000,100%,raw-mem-access,"3,909,934",0.056614
0,0,300000,100%,raw-mem-access-rd,"2,567,737",0.056614
0,0,300000,100%,raw-mem-access-wr,"1,342,197",0.056614
0,0,300000,100%,raw-memory-error,0,0.056614
0,0,300000,100%,raw-op-retired,0,0.056614
0,0,300000,100%,raw-op-spec,0,0.056614
0,0,300000,100%,raw-pc-write-retired,"1,145,909",0.056527
0,0,300000,100%,raw-pc-write-spec,"2,078,767",0.056527
0,0,300000,100%,raw-rc-ld-spec,0,0.056527
0,0,300000,100%,raw-rc-st-spec,0,0.056527
0,0,300000,100%,raw-remote-access,0,0.056527
0,0,300000,100%,raw-remote-access-rd,0,0.056527
0,0,300000,100%,raw-sample-collision,0,0.056488
0,0,300000,100%,raw-sample-feed,0,0.056488
0,0,300000,100%,raw-sample-filtrate,0,0.056488
0,0,300000,100%,raw-sample-pop,0,0.056488
0,0,300000,100%,raw-st-retired,"1,103,149",0.056488
0,0,300000,100%,raw-st-spec,"1,207,070",0.056488
0,0,300000,100%,raw-stall,0,0.056507
0,0,300000,100%,raw-stall-backend,"4,777,958",0.056507
0,0,300000,100%,raw-stall-backend-mem,0,0.056507
0,0,300000,100%,raw-stall-frontend,"2,572,208",0.056507
0,0,300000,100%,raw-stall-slot,0,0.056507
0,0,300000,100%,raw-stall-slot-backend,0,0.056507
0,0,300000,100%,raw-stall-slot-frontend,0,0.056328
0,0,300000,100%,raw-strex-fail-spec,0,0.056328
0,0,300000,100%,raw-strex-pass-spec,0,0.056328
0,0,300000,100%,raw-strex-spec,0,0.056328
0,0,300000,100%,raw-sve-inst-retired,0,0.056328
0,0,300000,100%,raw-sve-inst-spec,0,0.056328
0,0,300000,100%,raw-sw-incr,0,0.056046
0,0,300000,100%,raw-ttbr-write-retired,6,0.056046
0,0,300000,100%,raw-unaligned-ld-spec,0,0.056046
0,0,300000,100%,raw-unaligned-ldst-retired,"120,275",0.056046
0,0,300000,100%,raw-unaligned-ldst-spec,0,0.056046
0,0,300000,100%,raw-unaligned-st-spec,0,0.056046
0,0,300000,100%,raw-vfp-spec,"226,358",0.055023
0,0,1036800,100%,raw-ase-spec,"190,942",0.017971
0,0,1036800,100%,raw-br-immed-retired,"1,819,632",0.017971
0,0,1036800,100%,raw-br-immed-spec,"1,819,632",0.017971
0,0,1036800,100%,raw-br-indirect-spec,"20,518",0.017971
0,0,1036800,100%,raw-br-mis-pred,"139,484",0.017971
0,0,1036800,100%,raw-br-mis-pred-retired,"141,402",0.017971
0,0,1036800,100%,raw-br-pred,"1,662,703",0.018049
0,0,1036800,100%,raw-br-retired,"2,001,678",0.018049
0,0,1036800,100%,raw-br-return-retired,"161,788",0.018049
0,0,1036800,100%,raw-br-return-spec,"161,788",0.018049
0,0,1036800,100%,raw-bus-access,"1,240,080",0.018049
0,0,1036800,100%,raw-bus-access-normal,0,0.018049
0,0,1036800,100%,raw-bus-access-not-shared,0,0.017963
0,0,1036800,100%,raw-bus-access-periph,0,0.017963
0,0,1036800,100%,raw-bus-access-rd,"554,888",0.017963
0,0,1036800,100%,raw-bus-access-shared,0,0.017963
0,0,1036800,100%,raw-bus-access-wr,"680,649",0.017963
0,0,1036800,100%,raw-bus-cycles,"16,905,568",0.017963
0,0,1036800,100%,raw-cid-write-retired,1,0.018061
0,0,1036800,100%,raw-cnt-cycles,0,0.018061
0,0,1036800,100%,raw-cpu-cycles,"17,024,845",0.018061
0,0,1036800,100%,raw-crypto-spec,0,0.018061
0,0,1036800,100%,raw-dmb-spec,0,0.018061
0,0,1036800,100%,raw-dp-spec,"4,810,407",0.017983
0,0,1036800,100%,raw-dsb-spec,0,0.017983
0,0,1036800,100%,raw-dtlb-walk,"2,361",0.017983
0,0,1036800,100%,raw-exc-dabort,0,0.017983
0,0,1036800,100%,raw-exc-fiq,0,0.017983
0,0,1036800,100%,raw-exc-hvc,0,0.017983
0,0,1036800,100%,raw-exc-irq,5,0.017982
0,0,1036800,100%,raw-exc-pabort,0,0.017982
0,0,1036800,100%,raw-exc-return,"1,425",0.017982
0,0,1036800,100%,raw-exc-smc,0,0.017982
0,0,1036800,100%,raw-exc-svc,0,0.017982
0,0,1036800,100%,raw-exc-taken,"1,425",0.017982
0,0,1036800,100%,raw-exc-trap-dabort,0,0.018090
0,0,1036800,100%,raw-exc-trap-fiq,0,0.018090
0,0,1036800,100%,raw-exc-trap-irq,0,0.018090
0,0,1036800,100%,raw-exc-trap-other,0,0.018090
0,0,1036800,100%,raw-exc-trap-pabort,0,0.018090
0,0,1036800,100%,raw-exc-undef,0,0.018090
0,0,1036800,100%,raw-inst-retired,"9,905,218",0.018104
0,0,1036800,100%,raw-inst-spec,"10,308,322",0.018104
0,0,1036800,100%,raw-isb-spec,0,0.018104
0,0,1036800,100%,raw-itlb-walk,952,0.018104
0,0,1036800,100%,raw-l1d-cache,"2,972,440",0.018104
0,0,1036800,100%,raw-l1d-cache-allocate,0,0.018104
0,0,1036800,100%,raw-l1d-cache-inval,0,0.018119
0,0,1036800,100%,raw-l1d-cache-lmiss-rd,0,0.018119
0,0,1036800,100%,raw-l1d-cache-rd,"2,572,573",0.018119
0,0,1036800,100%,raw-l1d-cache-refill,"85,830",0.018119
0,0,1036800,100%,raw-l1d-cache-refill-inner,"75,747",0.018119
0,0,1036800,100%,raw-l1d-cache-refill-outer,"14,822",0.018119
0,0,1036800,100%,raw-l1d-cache-refill-rd,"70,058",0.018268
0,0,1036800,100%,raw-l1d-cache-refill-wr,"17,105",0.018268
0,0,1036800,100%,raw-l1d-cache-wb,"116,055",0.018268
0,0,1036800,100%,raw-l1d-cache-wb-clean,0,0.018268
0,0,1036800,100%,raw-l1d-cache-wb-victim,0,0.018268
0,0,1036800,100%,raw-l1d-cache-wr,"394,990",0.018268
0,0,1036800,100%,raw-l1d-tlb,"2,975,339",0.018331
0,0,1036800,100%,raw-l1d-tlb-rd,0,0.018331
0,0,1036800,100%,raw-l1d-tlb-refill,"111,819",0.018331
0,0,1036800,100%,raw-l1d-tlb-refill-rd,0,0.018331
0,0,1036800,100%,raw-l1d-tlb-refill-wr,0,0.018331
0,0,1036800,100%,raw-l1d-tlb-wr,0,0.018331
0,0,1036800,100%,raw-l1i-cache,"7,607,487",0.018076
0,0,1036800,100%,raw-l1i-cache-lmiss,0,0.018076
0,0,1036800,100%,raw-l1i-cache-refill,"129,416",0.018076
0,0,1036800,100%,raw-l1i-tlb,"10,479,671",0.018076
0,0,1036800,100%,raw-l1i-tlb-refill,"19,811",0.018076
0,0,1036800,100%,raw-l2d-cache,"471,667",0.018076
0,0,1036800,100%,raw-l2d-cache-allocate,"156,137",0.018152
0,0,1036800,100%,raw-l2d-cache-inval,0,0.018152
0,0,1036800,100%,raw-l2d-cache-lmiss-rd,0,0.018152
0,0,1036800,100%,raw-l2d-cache-rd,"313,897",0.018152
0,0,1036800,100%,raw-l2d-cache-refill,"143,884",0.018152
0,0,1036800,100%,raw-l2d-cache-refill-rd,"141,610",0.018152
0,0,1036800,100%,raw-l2d-cache-refill-wr,"2,227",0.018138
0,0,1036800,100%,raw-l2d-cache-wb,"167,867",0.018138
0,0,1036800,100%,raw-l2d-cache-wb-clean,0,0.018138
0,0,1036800,100%,raw-l2d-cache-wb-victim,0,0.018138
0,0,1036800,100%,raw-l2d-cache-wr,"159,403",0.018138
0,0,1036800,100%,raw-l2d-tlb,"146,960",0.018138
0,0,1036800,100%,raw-l2d-tlb-rd,0,0.017975
0,0,1036800,100%,raw-l2d-tlb-refill,"3,214",0.017975
0,0,1036800,100%,raw-l2d-tlb-refill-rd,0,0.017975
0,0,1036800,100%,raw-l2d-tlb-refill-wr,0,0.017975
0,0,1036800,100%,raw-l2d-tlb-wr,0,0.017975
0,0,1036800,100%,raw-l2i-cache,0,0.017975
0,0,1036800,100%,raw-l2i-cache-lmiss,0,0.018042
0,0,1036800,100%,raw-l2i-cache-refill,0,0.018042
0,0,1036800,100%,raw-l2i-tlb,0,0.018042
0,0,1036800,100%,raw-l2i-tlb-refill,0,0.018042
0,0,1036800,100%,raw-l3d-cache,"304,048",0.018042
0,0,1036800,100%,raw-l3d-cache-allocate,"162,184",0.018042
0,0,1036800,100%,raw-l3d-cache-inval,0,0.018168
0,0,1036800,100%,raw-l3d-cache-lmiss-rd,0,0.018168
0,0,1036800,100%,raw-l3d-cache-rd,"141,533",0.018168
0,0,1036800,100%,raw-l3d-cache-refill,"33,043",0.018168
0,0,1036800,100%,raw-l3d-cache-refill-rd,"33,043",0.018168
0,0,1036800,100%,raw-l3d-cache-refill-wr,0,0.018168
0,0,1036800,100%,raw-l3d-cache-wb,0,0.017977
0,0,1036800,100%,raw-l3d-cache-wb-clean,0,0.017977
0,0,1036800,100%,raw-l3d-cache-wb-victim,0,0.017977
0,0,1036800,100%,raw-l3d-cache-wr,0,0.017977
0,0,1036800,100%,raw-ld-retired,"1,984,752",0.017977
0,0,1036800,100%,raw-ld-spec,"2,054,314",0.017977
0,0,1036800,100%,raw-ldrex-spec,0,0.018006
0,0,1036800,100%,raw-ldst-spec,"3,242,866",0.018006
0,0,1036800,100%,raw-ll-cache,0,0.018006
0,0,1036800,100%,raw-ll-cache-miss,0,0.018006
0,0,1036800,100%,raw-ll-cache-miss-rd,"34,724",0.018006
0,0,1036800,100%,raw-ll-cache-rd,"141,065",0.018006
0,0,1036800,100%,raw-mem-access,"3,827,164",0.017954
0,0,1036800,100%,raw-mem-access-rd,"2,506,726",0.017954
0,0,1036800,100%,raw-mem-access-wr,"1,320,438",0.017954
0,0,1036800,100%,raw-memory-error,0,0.017954
0,0,1036800,100%,raw-op-retired,0,0.017954
0,0,1036800,100%,raw-op-spec,0,0.017954
0,0,1036800,100%,raw-pc-write-retired,"1,131,657",0.018037
0,0,1036800,100%,raw-pc-write-spec,"2,050,975",0.018037
0,0,1036800,100%,raw-rc-ld-spec,0,0.018037
0,0,1036800,100%,raw-rc-st-spec,0,0.018037
0,0,1036800,100%,raw-remote-access,0,0.018037
0,0,1036800,100%,raw-remote-access-rd,0,0.018037
0,0,1036800,100%,raw-sample-collision,0,0.017894
0,0,1036800,100%,raw-sample-feed,0,0.017894
0,0,1036800,100%,raw-sample-filtrate,0,0.017894
0,0,1036800,100%,raw-sample-pop,0,0.017894
0,0,1036800,100%,raw-st-retired,"1,083,980",0.017894
0,0,1036800,100%,raw-st-spec,"1,185,566",0.017894
0,0,1036800,100%,raw-stall,0,0.018136
0,0,1036800,100%,raw-stall-backend,"6,026,875",0.018136
0,0,1036800,100%,raw-stall-backend-mem,0,0.018136
0,0,1036800,100%,raw-stall-frontend,"3,015,022",0.018136
0,0,1036800,100%,raw-stall-slot,0,0.018136
0,0,1036800,100%,raw-stall-slot-backend,0,0.018136
0,0,1036800,100%,raw-stall-slot-frontend,0,0.017966
0,0,1036800,100%,raw-strex-fail-spec,0,0.017966
0,0,1036800,100%,raw-strex-pass-spec,0,0.017966
0,0,1036800,100%,raw-strex-spec,0,0.017966
0,0,1036800,100%,raw-sve-inst-retired,0,0.017966
0,0,1036800,100%,raw-sve-inst-spec,0,0.017966
0,0,1036800,100%,raw-sw-incr,0,0.018132
0,0,1036800,100%,raw-ttbr-write-retired,6,0.018132
0,0,1036800,100%,raw-unaligned-ld-spec,0,0.018132
0,0,1036800,100%,raw-unaligned-ldst-retired,"120,402",0.018132
0,0,1036800,100%,raw-unaligned-ldst-spec,0,0.018132
0,0,1036800,100%,raw-unaligned-st-spec,0,0.018132
0,0,1036800,100%,raw-vfp-spec,"226,465",0.017694
0,0,1785600,100%,raw-ase-spec,"191,187",0.011527
0,0,1785600,100%,raw-br-immed-retired,"1,816,883",0.011527
0,0,1785600,100%,raw-br-immed-spec,"1,816,883",0.011527
0,0,1785600,100%,raw-br-indirect-spec,"20,458",0.011527
0,0,1785600,100%,raw-br-mis-pred,"139,899",0.011527
0,0,1785600,100%,raw-br-mis-pred-retired,"141,795",0.011527
0,0,1785600,100%,raw-br-pred,"1,661,999",0.011452
0,0,1785600,100%,raw-br-retired,"2,001,352",0.011452
