setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"190,801",0.063770
0,0,300000,100%,raw-br-immed-retired,"1,826,646",0.063770
0,0,300000,100%,raw-br-immed-spec,"1,826,646",0.063770
0,0,300000,100%,raw-br-indirect-spec,"17,810",0.063770
0,0,300000,100%,raw-br-mis-pred,"155,548",0.063770
0,0,300000,100%,raw-br-mis-pred-retired,"157,561",0.063770
0,0,300000,100%,raw-br-pred,"1,576,684",0.054809
0,0,300000,100%,raw-br-retired,"1,897,964",0.054809
0,0,300000,100%,raw-br-return-retired,"154,644",0.054809
0,0,300000,100%,raw-br-return-spec,"154,644",0.054809
0,0,300000,100%,raw-bus-access,"1,402,030",0.054809
0,0,300000,100%,raw-bus-access-normal,0,0.054809
0,0,300000,100%,raw-bus-access-not-shared,0,0.054127
0,0,300000,100%,raw-bus-access-periph,0,0.054127
0,0,300000,100%,raw-bus-access-rd,"609,630",0.054127
0,0,300000,100%,raw-bus-access-shared,0,0.054127
0,0,300000,100%,raw-bus-access-wr,"729,000",0.054127
0,0,300000,100%,raw-bus-cycles,"14,832,042",0.054127
0,0,300000,100%,raw-cid-write-retired,1,0.054454
0,0,300000,100%,raw-cnt-cycles,0,0.054454
0,0,300000,100%,raw-cpu-cycles,"14,922,196",0.054454
0,0,300000,100%,raw-crypto-spec,0,0.054454
0,0,300000,100%,raw-dmb-spec,0,0.054454
0,0,300000,100%,raw-dp-spec,"4,615,587",0.055174
0,0,300000,100%,raw-dsb-spec,0,0.055174
0,0,300000,100%,raw-dtlb-walk,"2,173",0.055174
0,0,300000,100%,raw-exc-dabort,0,0.055174
0,0,300000,100%,raw-exc-fiq,0,0.055174
0,0,300000,100%,raw-exc-hvc,0,0.055174
0,0,300000,100%,raw-exc-irq,15,0.054157
0,0,300000,100%,raw-exc-pabort,0,0.054157
0,0,300000,100%,raw-exc-return,"1,403",0.054157
0,0,300000,100%,raw-exc-smc,0,0.054157
0,0,300000,100%,raw-exc-svc,0,0.054157
0,0,300000,100%,raw-exc-taken,"1,403",0.054157
0,0,300000,100%,raw-exc-trap-dabort,0,0.054029
0,0,300000,100%,raw-exc-trap-fiq,0,0.054029
0,0,300000,100%,raw-exc-trap-irq,0,0.054029
0,0,300000,100%,raw-exc-trap-other,0,0.054029
0,0,300000,100%,raw-exc-trap-pabort,0,0.054029
0,0,300000,100%,raw-exc-undef,0,0.054029
0,0,300000,100%,raw-inst-retired,"9,481,812",0.054290
0,0,300000,100%,raw-inst-spec,"9,889,100",0.054290
0,0,300000,100%,raw-isb-spec,0,0.054290
