setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"191,264",0.092961
0,0,300000,100%,raw-br-immed-retired,"2,403,881",0.092961
0,0,300000,100%,raw-br-immed-spec,"2,403,881",0.092961
0,0,300000,100%,raw-br-indirect-spec,"29,587",0.092961
0,0,300000,100%,raw-br-mis-pred,"194,766",0.092961
0,0,300000,100%,raw-br-mis-pred-retired,"198,143",0.092961
0,0,300000,100%,raw-br-pred,"2,049,173",0.072204
0,0,300000,100%,raw-br-retired,"2,461,067",0.072204
0,0,300000,100%,raw-br-return-retired,"197,604",0.072204
0,0,300000,100%,raw-br-return-spec,"197,604",0.072204
0,0,300000,100%,raw-bus-access,"1,604,697",0.072204
0,0,300000,100%,raw-bus-access-normal,0,0.072204
0,0,300000,100%,raw-bus-access-not-shared,0,0.071456
0,0,300000,100%,raw-bus-access-periph,0,0.071456
0,0,300000,100%,raw-bus-access-rd,"746,597",0.071456
0,0,300000,100%,raw-bus-access-shared,0,0.071456
0,0,300000,100%,raw-bus-access-wr,"877,595",0.071456
0,0,300000,100%,raw-bus-cycles,"19,776,811",0.071456
0,0,300000,100%,raw-cid-write-retired,1,0.073187
0,0,300000,100%,raw-cnt-cycles,0,0.073187
0,0,300000,100%,raw-cpu-cycles,"20,353,911",0.073187
0,0,300000,100%,raw-crypto-spec,0,0.073187
0,0,300000,100%,raw-dmb-spec,0,0.073187
0,0,300000,100%,raw-dp-spec,"6,008,250",0.071912
0,0,300000,100%,raw-dsb-spec,0,0.071912
0,0,300000,100%,raw-dtlb-walk,"2,411",0.071912
0,0,300000,100%,raw-exc-dabort,0,0.071912
0,0,300000,100%,raw-exc-fiq,0,0.071912
0,0,300000,100%,raw-exc-hvc,0,0.071912
0,0,300000,100%,raw-exc-irq,18,0.064007
0,0,300000,100%,raw-exc-pabort,0,0.064007
0,0,300000,100%,raw-exc-return,"1,964",0.064007
0,0,300000,100%,raw-exc-smc,0,0.064007
0,0,300000,100%,raw-exc-svc,0,0.064007
0,0,300000,100%,raw-exc-taken,"1,964",0.064007
0,0,300000,100%,raw-exc-trap-dabort,0,0.068385
0,0,300000,100%,raw-exc-trap-fiq,0,0.068385
0,0,300000,100%,raw-exc-trap-irq,0,0.068385
0,0,300000,100%,raw-exc-trap-other,0,0.068385
0,0,300000,100%,raw-exc-trap-pabort,0,0.068385
0,0,300000,100%,raw-exc-undef,0,0.068385
0,0,300000,100%,raw-inst-retired,"11,918,760",0.068128
0,0,300000,100%,raw-inst-spec,"12,409,546",0.068128
0,0,300000,100%,raw-isb-spec,0,0.068128
0,0,300000,100%,raw-itlb-walk,"1,035",0.068128
0,0,300000,100%,raw-l1d-cache,"3,696,178",0.068128
0,0,300000,100%,raw-l1d-cache-allocate,0,0.068128
0,0,300000,100%,raw-l1d-cache-inval,0,0.067742
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,0.067742
0,0,300000,100%,raw-l1d-cache-rd,"3,163,227",0.067742
0,0,300000,100%,raw-l1d-cache-refill,"115,579",0.067742
0,0,300000,100%,raw-l1d-cache-refill-inner,"106,548",0.067742
0,0,300000,100%,raw-l1d-cache-refill-outer,"16,365",0.067742
0,0,300000,100%,raw-l1d-cache-refill-rd,"117,930",0.073139
0,0,300000,100%,raw-l1d-cache-refill-wr,"20,827",0.073139
0,0,300000,100%,raw-l1d-cache-wb,"169,735",0.073139
0,0,300000,100%,raw-l1d-cache-wb-clean,0,0.073139
0,0,300000,100%,raw-l1d-cache-wb-victim,0,0.073139
0,0,300000,100%,raw-l1d-cache-wr,"542,630",0.073139
0,0,300000,100%,raw-l1d-tlb,"3,499,695",0.063782
0,0,300000,100%,raw-l1d-tlb-rd,0,0.063782
0,0,300000,100%,raw-l1d-tlb-refill,"150,103",0.063782
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,0.063782
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,0.063782
0,0,300000,100%,raw-l1d-tlb-wr,0,0.063782
0,0,300000,100%,raw-l1i-cache,"8,698,817",0.066858
0,0,300000,100%,raw-l1i-cache-lmiss,0,0.066858
0,0,300000,100%,raw-l1i-cache-refill,"158,145",0.066858
0,0,300000,100%,raw-l1i-tlb,"11,486,877",0.066858
0,0,300000,100%,raw-l1i-tlb-refill,"27,461",0.066858
0,0,300000,100%,raw-l2d-cache,"551,333",0.066858
0,0,300000,100%,raw-l2d-cache-allocate,"183,220",0.068531
0,0,300000,100%,raw-l2d-cache-inval,0,0.068531
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,0.068531
0,0,300000,100%,raw-l2d-cache-rd,"459,206",0.068531
0,0,300000,100%,raw-l2d-cache-refill,"183,069",0.068531
0,0,300000,100%,raw-l2d-cache-refill-rd,"180,594",0.068531
0,0,300000,100%,raw-l2d-cache-refill-wr,"2,425",0.062248
0,0,300000,100%,raw-l2d-cache-wb,"189,711",0.062248
0,0,300000,100%,raw-l2d-cache-wb-clean,0,0.062248
0,0,300000,100%,raw-l2d-cache-wb-victim,0,0.062248
0,0,300000,100%,raw-l2d-cache-wr,"168,205",0.062248
0,0,300000,100%,raw-l2d-tlb,"187,693",0.062248
0,0,300000,100%,raw-l2d-tlb-rd,0,0.063582
0,0,300000,100%,raw-l2d-tlb-refill,"3,570",0.063582
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,0.063582
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,0.063582
0,0,300000,100%,raw-l2d-tlb-wr,0,0.063582
0,0,300000,100%,raw-l2i-cache,0,0.063582
0,0,300000,100%,raw-l2i-cache-lmiss,0,0.066306
0,0,300000,100%,raw-l2i-cache-refill,0,0.066306
0,0,300000,100%,raw-l2i-tlb,0,0.066306
0,0,300000,100%,raw-l2i-tlb-refill,0,0.066306
0,0,300000,100%,raw-l3d-cache,"370,802",0.066306
0,0,300000,100%,raw-l3d-cache-allocate,"188,159",0.066306
0,0,300000,100%,raw-l3d-cache-inval,0,0.074545
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,0.074545
0,0,300000,100%,raw-l3d-cache-rd,"206,491",0.074545
0,0,300000,100%,raw-l3d-cache-refill,"34,067",0.074545
0,0,300000,100%,raw-l3d-cache-refill-rd,"34,067",0.074545
0,0,300000,100%,raw-l3d-cache-refill-wr,0,0.074545
0,0,300000,100%,raw-l3d-cache-wb,0,0.063892
0,0,300000,100%,raw-l3d-cache-wb-clean,0,0.063892
0,0,300000,100%,raw-l3d-cache-wb-victim,0,0.063892
0,0,300000,100%,raw-l3d-cache-wr,0,0.063892
0,0,300000,100%,raw-ld-retired,"2,326,002",0.063892
0,0,300000,100%,raw-ld-spec,"2,406,068",0.063892
0,0,300000,100%,raw-ldrex-spec,0,0.064768
0,0,300000,100%,raw-ldst-spec,"3,849,770",0.064768
0,0,300000,100%,raw-ll-cache,0,0.064768
0,0,300000,100%,raw-ll-cache-miss,0,0.064768
0,0,300000,100%,raw-ll-cache-miss-rd,"36,123",0.064768
0,0,300000,100%,raw-ll-cache-rd,"178,124",0.064768
0,0,300000,100%,raw-mem-access,"4,454,248",0.062258
0,0,300000,100%,raw-mem-access-rd,"2,902,040",0.062258
0,0,300000,100%,raw-mem-access-wr,"1,552,208",0.062258
0,0,300000,100%,raw-memory-error,0,0.062258
0,0,300000,100%,raw-op-retired,0,0.062258
0,0,300000,100%,raw-op-spec,0,0.062258
0,0,300000,100%,raw-pc-write-retired,"1,237,362",0.062742
0,0,300000,100%,raw-pc-write-spec,"2,283,102",0.062742
