setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"190,920",0.110971
0,0,300000,100%,raw-br-immed-retired,"2,684,677",0.110971
0,0,300000,100%,raw-br-immed-spec,"2,684,677",0.110971
0,0,300000,100%,raw-br-indirect-spec,"27,348",0.110971
0,0,300000,100%,raw-br-mis-pred,"219,437",0.110971
0,0,300000,100%,raw-br-mis-pred-retired,"222,020",0.110971
0,0,300000,100%,raw-br-pred,"1,819,221",0.061681
0,0,300000,100%,raw-br-retired,"2,184,003",0.061681
0,0,300000,100%,raw-br-return-retired,"177,649",0.061681
0,0,300000,100%,raw-br-return-spec,"177,649",0.061681
0,0,300000,100%,raw-bus-access,"1,525,533",0.061681
0,0,300000,100%,raw-bus-access-normal,0,0.061681
0,0,300000,100%,raw-bus-access-not-shared,0,0.061281
0,0,300000,100%,raw-bus-access-periph,0,0.061281
0,0,300000,100%,raw-bus-access-rd,"689,353",0.061281
0,0,300000,100%,raw-bus-access-shared,0,0.061281
0,0,300000,100%,raw-bus-access-wr,"812,123",0.061281
0,0,300000,100%,raw-bus-cycles,"16,853,125",0.061281
0,0,300000,100%,raw-cid-write-retired,1,0.061166
0,0,300000,100%,raw-cnt-cycles,0,0.061166
0,0,300000,100%,raw-cpu-cycles,"16,863,482",0.061166
0,0,300000,100%,raw-crypto-spec,0,0.061166
0,0,300000,100%,raw-dmb-spec,0,0.061166
0,0,300000,100%,raw-dp-spec,"5,250,779",0.060852
0,0,300000,100%,raw-dsb-spec,0,0.060852
0,0,300000,100%,raw-dtlb-walk,"2,385",0.060852
0,0,300000,100%,raw-exc-dabort,0,0.060852
0,0,300000,100%,raw-exc-fiq,0,0.060852
0,0,300000,100%,raw-exc-hvc,0,0.060852
0,0,300000,100%,raw-exc-irq,17,0.060131
0,0,300000,100%,raw-exc-pabort,0,0.060131
0,0,300000,100%,raw-exc-return,"1,499",0.060131
0,0,300000,100%,raw-exc-smc,0,0.060131
0,0,300000,100%,raw-exc-svc,0,0.060131
0,0,300000,100%,raw-exc-taken,"1,499",0.060131
0,0,300000,100%,raw-exc-trap-dabort,0,0.061709
0,0,300000,100%,raw-exc-trap-fiq,0,0.061709
0,0,300000,100%,raw-exc-trap-irq,0,0.061709
0,0,300000,100%,raw-exc-trap-other,0,0.061709
0,0,300000,100%,raw-exc-trap-pabort,0,0.061709
0,0,300000,100%,raw-exc-undef,0,0.061709
0,0,300000,100%,raw-inst-retired,"10,917,900",0.061286
0,0,300000,100%,raw-inst-spec,"11,365,225",0.061286
0,0,300000,100%,raw-isb-spec,0,0.061286
0,0,300000,100%,raw-itlb-walk,"1,286",0.061286
0,0,300000,100%,raw-l1d-cache,"3,317,622",0.061286
