setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"191,011",0.073192
0,0,300000,100%,raw-br-immed-retired,"1,873,310",0.073192
0,0,300000,100%,raw-br-immed-spec,"1,873,310",0.073192
0,0,300000,100%,raw-br-indirect-spec,"18,410",0.073192
0,0,300000,100%,raw-br-mis-pred,"164,089",0.073192
0,0,300000,100%,raw-br-mis-pred-retired,"166,167",0.073192
0,0,300000,100%,raw-br-pred,"1,582,540",0.055019
0,0,300000,100%,raw-br-retired,"1,905,411",0.055019
0,0,300000,100%,raw-br-return-retired,"155,398",0.055019
0,0,300000,100%,raw-br-return-spec,"155,398",0.055019
0,0,300000,100%,raw-bus-access,"1,396,464",0.055019
0,0,300000,100%,raw-bus-access-normal,0,0.055019
0,0,300000,100%,raw-bus-access-not-shared,0,0.055140
0,0,300000,100%,raw-bus-access-periph,0,0.055140
0,0,300000,100%,raw-bus-access-rd,"635,858",0.055140
0,0,300000,100%,raw-bus-access-shared,0,0.055140
0,0,300000,100%,raw-bus-access-wr,"758,812",0.055140
0,0,300000,100%,raw-bus-cycles,"15,032,659",0.055140
0,0,300000,100%,raw-cid-write-retired,1,0.054442
0,0,300000,100%,raw-cnt-cycles,0,0.054442
0,0,300000,100%,raw-cpu-cycles,"14,862,883",0.054442
0,0,300000,100%,raw-crypto-spec,0,0.054442
0,0,300000,100%,raw-dmb-spec,0,0.054442
0,0,300000,100%,raw-dp-spec,"4,629,931",0.055114
0,0,300000,100%,raw-dsb-spec,0,0.055114
0,0,300000,100%,raw-dtlb-walk,"2,414",0.055114
0,0,300000,100%,raw-exc-dabort,0,0.055114
0,0,300000,100%,raw-exc-fiq,0,0.055114
0,0,300000,100%,raw-exc-hvc,0,0.055114
0,0,300000,100%,raw-exc-irq,16,0.054675
0,0,300000,100%,raw-exc-pabort,0,0.054675
0,0,300000,100%,raw-exc-return,"1,413",0.054675
0,0,300000,100%,raw-exc-smc,0,0.054675
0,0,300000,100%,raw-exc-svc,0,0.054675
0,0,300000,100%,raw-exc-taken,"1,413",0.054675
0,0,300000,100%,raw-exc-trap-dabort,0,0.055146
0,0,300000,100%,raw-exc-trap-fiq,0,0.055146
0,0,300000,100%,raw-exc-trap-irq,0,0.055146
0,0,300000,100%,raw-exc-trap-other,0,0.055146
0,0,300000,100%,raw-exc-trap-pabort,0,0.055146
0,0,300000,100%,raw-exc-undef,0,0.055146
0,0,300000,100%,raw-inst-retired,"9,593,769",0.055164
0,0,300000,100%,raw-inst-spec,"10,009,852",0.055164
0,0,300000,100%,raw-isb-spec,0,0.055164
0,0,300000,100%,raw-itlb-walk,950,0.055164
0,0,300000,100%,raw-l1d-cache,"2,933,352",0.055164
0,0,300000,100%,raw-l1d-cache-allocate,0,0.055164
0,0,300000,100%,raw-l1d-cache-inval,0,0.055033
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,0.055033
0,0,300000,100%,raw-l1d-cache-rd,"2,534,247",0.055033
0,0,300000,100%,raw-l1d-cache-refill,"88,712",0.055033
0,0,300000,100%,raw-l1d-cache-refill-inner,"77,911",0.055033
0,0,300000,100%,raw-l1d-cache-refill-outer,"15,748",0.055033
