setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"258,695",0.193879
0,0,300000,100%,raw-br-immed-retired,"10,608,952",0.193879
0,0,300000,100%,raw-br-immed-spec,"10,608,952",0.193879
0,0,300000,100%,raw-br-indirect-spec,"284,593",0.193879
0,0,300000,100%,raw-br-mis-pred,"310,769",0.193879
0,0,300000,100%,raw-br-mis-pred-retired,"313,532",0.193879
0,0,300000,100%,raw-br-pred,"9,626,181",0.141553
0,0,300000,100%,raw-br-retired,"11,444,063",0.141553
0,0,300000,100%,raw-br-return-retired,"1,275,978",0.141553
0,0,300000,100%,raw-br-return-spec,"1,275,978",0.141553
0,0,300000,100%,raw-bus-access,"2,318,996",0.141553
0,0,300000,100%,raw-bus-access-normal,0,0.141553
0,0,300000,100%,raw-bus-access-not-shared,0,0.140914
0,0,300000,100%,raw-bus-access-periph,0,0.140914
0,0,300000,100%,raw-bus-access-rd,"1,079,235",0.140914
0,0,300000,100%,raw-bus-access-shared,0,0.140914
0,0,300000,100%,raw-bus-access-wr,"1,230,814",0.140914
0,0,300000,100%,raw-bus-cycles,"40,651,492",0.140914
0,0,300000,100%,raw-cid-write-retired,1,0.141222
0,0,300000,100%,raw-cnt-cycles,0,0.141222
0,0,300000,100%,raw-cpu-cycles,"40,802,841",0.141222
0,0,300000,100%,raw-crypto-spec,0,0.141222
0,0,300000,100%,raw-dmb-spec,0,0.141222
0,0,300000,100%,raw-dp-spec,"22,071,888",0.140899
0,0,300000,100%,raw-dsb-spec,0,0.140899
0,0,300000,100%,raw-dtlb-walk,"2,832",0.140899
0,0,300000,100%,raw-exc-dabort,0,0.140899
0,0,300000,100%,raw-exc-fiq,0,0.140899
0,0,300000,100%,raw-exc-hvc,0,0.140899
0,0,300000,100%,raw-exc-irq,41,0.141148
0,0,300000,100%,raw-exc-pabort,0,0.141148
0,0,300000,100%,raw-exc-return,"1,581",0.141148
0,0,300000,100%,raw-exc-smc,0,0.141148
0,0,300000,100%,raw-exc-svc,0,0.141148
0,0,300000,100%,raw-exc-taken,"1,581",0.141148
0,0,300000,100%,raw-exc-trap-dabort,0,0.141149
0,0,300000,100%,raw-exc-trap-fiq,0,0.141149
0,0,300000,100%,raw-exc-trap-irq,0,0.141149
0,0,300000,100%,raw-exc-trap-other,0,0.141149
0,0,300000,100%,raw-exc-trap-pabort,0,0.141149
0,0,300000,100%,raw-exc-undef,0,0.141149
0,0,300000,100%,raw-inst-retired,"42,305,154",0.141528
0,0,300000,100%,raw-inst-spec,"43,249,165",0.141528
0,0,300000,100%,raw-isb-spec,0,0.141528
0,0,300000,100%,raw-itlb-walk,"1,130",0.141528
0,0,300000,100%,raw-l1d-cache,"8,397,785",0.141528
