setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"929,343",1.741085
0,0,300000,100%,raw-br-immed-retired,"105,859,013",1.741085
0,0,300000,100%,raw-br-immed-spec,"105,859,013",1.741085
0,0,300000,100%,raw-br-indirect-spec,"3,430,220",1.741085
0,0,300000,100%,raw-br-mis-pred,"2,363,290",1.741085
0,0,300000,100%,raw-br-mis-pred-retired,"2,372,410",1.741085
0,0,300000,100%,raw-br-pred,"107,344,325",1.732729
0,0,300000,100%,raw-br-retired,"116,223,110",1.732729
0,0,300000,100%,raw-br-return-retired,"6,961,084",1.732729
0,0,300000,100%,raw-br-return-spec,"6,961,084",1.732729
0,0,300000,100%,raw-bus-access,"21,551,625",1.732729
0,0,300000,100%,raw-bus-access-normal,0,1.732729
0,0,300000,100%,raw-bus-access-not-shared,0,1.734305
0,0,300000,100%,raw-bus-access-periph,0,1.734305
0,0,300000,100%,raw-bus-access-rd,"10,646,746",1.734305
0,0,300000,100%,raw-bus-access-shared,0,1.734305
0,0,300000,100%,raw-bus-access-wr,"11,441,786",1.734305
0,0,300000,100%,raw-bus-cycles,"515,763,651",1.734305
0,0,300000,100%,raw-cid-write-retired,1,1.734596
0,0,300000,100%,raw-cnt-cycles,0,1.734596
0,0,300000,100%,raw-cpu-cycles,"516,144,392",1.734596
0,0,300000,100%,raw-crypto-spec,0,1.734596
0,0,300000,100%,raw-dmb-spec,0,1.734596
0,0,300000,100%,raw-dp-spec,"163,515,955",1.733188
0,0,300000,100%,raw-dsb-spec,0,1.733188
0,0,300000,100%,raw-dtlb-walk,"33,293",1.733188
0,0,300000,100%,raw-exc-dabort,0,1.733188
0,0,300000,100%,raw-exc-fiq,0,1.733188
0,0,300000,100%,raw-exc-hvc,0,1.733188
0,0,300000,100%,raw-exc-irq,559,1.734687
0,0,300000,100%,raw-exc-pabort,0,1.734687
0,0,300000,100%,raw-exc-return,"3,880",1.734687
0,0,300000,100%,raw-exc-smc,0,1.734687
0,0,300000,100%,raw-exc-svc,0,1.734687
0,0,300000,100%,raw-exc-taken,"3,881",1.734687
0,0,300000,100%,raw-exc-trap-dabort,0,1.731944
0,0,300000,100%,raw-exc-trap-fiq,0,1.731944
0,0,300000,100%,raw-exc-trap-irq,0,1.731944
0,0,300000,100%,raw-exc-trap-other,0,1.731944
0,0,300000,100%,raw-exc-trap-pabort,0,1.731944
0,0,300000,100%,raw-exc-undef,0,1.731944
0,0,300000,100%,raw-inst-retired,"428,099,419",1.735380
0,0,300000,100%,raw-inst-spec,"435,424,292",1.735380
0,0,300000,100%,raw-isb-spec,0,1.735380
0,0,300000,100%,raw-itlb-walk,"14,468",1.735380
0,0,300000,100%,raw-l1d-cache,"133,806,872",1.735380
0,0,300000,100%,raw-l1d-cache-allocate,0,1.735380
0,0,300000,100%,raw-l1d-cache-inval,0,1.739659
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,1.739659
0,0,300000,100%,raw-l1d-cache-rd,"123,008,690",1.739659
0,0,300000,100%,raw-l1d-cache-refill,"6,020,594",1.739659
0,0,300000,100%,raw-l1d-cache-refill-inner,"5,891,747",1.739659
0,0,300000,100%,raw-l1d-cache-refill-outer,"202,840",1.739659
0,0,300000,100%,raw-l1d-cache-refill-rd,"5,489,164",1.733128
0,0,300000,100%,raw-l1d-cache-refill-wr,"606,586",1.733128
0,0,300000,100%,raw-l1d-cache-wb,"7,724,924",1.733128
0,0,300000,100%,raw-l1d-cache-wb-clean,0,1.733128
0,0,300000,100%,raw-l1d-cache-wb-victim,0,1.733128
0,0,300000,100%,raw-l1d-cache-wr,"10,468,570",1.733128
0,0,300000,100%,raw-l1d-tlb,"133,583,050",1.727950
0,0,300000,100%,raw-l1d-tlb-rd,0,1.727950
0,0,300000,100%,raw-l1d-tlb-refill,"7,656,703",1.727950
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,1.727950
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,1.727950
0,0,300000,100%,raw-l1d-tlb-wr,0,1.727950
0,0,300000,100%,raw-l1i-cache,"298,072,096",1.731826
0,0,300000,100%,raw-l1i-cache-lmiss,0,1.731826
0,0,300000,100%,raw-l1i-cache-refill,"3,242,345",1.731826
0,0,300000,100%,raw-l1i-tlb,"344,956,918",1.731826
0,0,300000,100%,raw-l1i-tlb-refill,"4,229,759",1.731826
0,0,300000,100%,raw-l2d-cache,"20,254,509",1.731826
0,0,300000,100%,raw-l2d-cache-allocate,"8,098,033",1.779534
0,0,300000,100%,raw-l2d-cache-inval,0,1.779534
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,1.779534
0,0,300000,100%,raw-l2d-cache-rd,"12,744,859",1.779534
0,0,300000,100%,raw-l2d-cache-refill,"2,733,186",1.779534
0,0,300000,100%,raw-l2d-cache-refill-rd,"2,726,866",1.779534
0,0,300000,100%,raw-l2d-cache-refill-wr,"6,499",1.811570
0,0,300000,100%,raw-l2d-cache-wb,"3,025,929",1.811570
0,0,300000,100%,raw-l2d-cache-wb-clean,0,1.811570
0,0,300000,100%,raw-l2d-cache-wb-victim,0,1.811570
0,0,300000,100%,raw-l2d-cache-wr,"8,379,552",1.811570
0,0,300000,100%,raw-l2d-tlb,"12,419,673",1.811570
0,0,300000,100%,raw-l2d-tlb-rd,0,1.758674
0,0,300000,100%,raw-l2d-tlb-refill,"127,244",1.758674
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,1.758674
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,1.758674
0,0,300000,100%,raw-l2d-tlb-wr,0,1.758674
0,0,300000,100%,raw-l2i-cache,0,1.758674
0,0,300000,100%,raw-l2i-cache-lmiss,0,1.725339
0,0,300000,100%,raw-l2i-cache-refill,0,1.725339
0,0,300000,100%,raw-l2i-tlb,0,1.725339
0,0,300000,100%,raw-l2i-tlb-refill,0,1.725339
0,0,300000,100%,raw-l3d-cache,"5,264,672",1.725339
0,0,300000,100%,raw-l3d-cache-allocate,"2,673,172",1.725339
0,0,300000,100%,raw-l3d-cache-inval,0,1.734773
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,1.734773
0,0,300000,100%,raw-l3d-cache-rd,"2,688,878",1.734773
0,0,300000,100%,raw-l3d-cache-refill,"476,974",1.734773
0,0,300000,100%,raw-l3d-cache-refill-rd,"476,974",1.734773
0,0,300000,100%,raw-l3d-cache-refill-wr,0,1.734773
0,0,300000,100%,raw-l3d-cache-wb,0,1.725312
0,0,300000,100%,raw-l3d-cache-wb-clean,0,1.725312
0,0,300000,100%,raw-l3d-cache-wb-victim,0,1.725312
0,0,300000,100%,raw-l3d-cache-wr,0,1.725312
0,0,300000,100%,raw-ld-retired,"111,173,787",1.725312
0,0,300000,100%,raw-ld-spec,"113,334,437",1.725312
0,0,300000,100%,raw-ldrex-spec,0,1.732320
0,0,300000,100%,raw-ldst-spec,"152,119,149",1.732320
0,0,300000,100%,raw-ll-cache,0,1.732320
0,0,300000,100%,raw-ll-cache-miss,0,1.732320
0,0,300000,100%,raw-ll-cache-miss-rd,"449,309",1.732320
0,0,300000,100%,raw-ll-cache-rd,"2,686,096",1.732320
0,0,300000,100%,raw-mem-access,"160,628,777",1.734257
0,0,300000,100%,raw-mem-access-rd,"122,268,952",1.734257
0,0,300000,100%,raw-mem-access-wr,"38,359,825",1.734257
0,0,300000,100%,raw-memory-error,0,1.734257
0,0,300000,100%,raw-op-retired,0,1.734257
0,0,300000,100%,raw-op-spec,0,1.734257
0,0,300000,100%,raw-pc-write-retired,"49,738,857",1.742016
0,0,300000,100%,raw-pc-write-spec,"117,223,554",1.742016
0,0,300000,100%,raw-rc-ld-spec,0,1.742016
0,0,300000,100%,raw-rc-st-spec,0,1.742016
0,0,300000,100%,raw-remote-access,0,1.742016
