setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"1,205,363",0.353191
0,0,300000,100%,raw-br-immed-retired,"9,697,775",0.353191
0,0,300000,100%,raw-br-immed-spec,"9,697,775",0.353191
0,0,300000,100%,raw-br-indirect-spec,"424,174",0.353191
0,0,300000,100%,raw-br-mis-pred,"268,967",0.353191
0,0,300000,100%,raw-br-mis-pred-retired,"272,445",0.353191
0,0,300000,100%,raw-br-pred,"9,126,893",0.311045
0,0,300000,100%,raw-br-retired,"10,226,539",0.311045
0,0,300000,100%,raw-br-return-retired,"643,287",0.311045
0,0,300000,100%,raw-br-return-spec,"643,287",0.311045
0,0,300000,100%,raw-bus-access,"3,994,766",0.311045
0,0,300000,100%,raw-bus-access-normal,0,0.311045
0,0,300000,100%,raw-bus-access-not-shared,0,0.310680
0,0,300000,100%,raw-bus-access-periph,0,0.310680
0,0,300000,100%,raw-bus-access-rd,"1,827,068",0.310680
0,0,300000,100%,raw-bus-access-shared,0,0.310680
0,0,300000,100%,raw-bus-access-wr,"2,168,041",0.310680
0,0,300000,100%,raw-bus-cycles,"91,495,148",0.310680
0,0,300000,100%,raw-cid-write-retired,1,0.310511
0,0,300000,100%,raw-cnt-cycles,0,0.310511
0,0,300000,100%,raw-cpu-cycles,"91,442,719",0.310511
0,0,300000,100%,raw-crypto-spec,0,0.310511
0,0,300000,100%,raw-dmb-spec,0,0.310511
0,0,300000,100%,raw-dp-spec,"25,042,757",0.310662
0,0,300000,100%,raw-dsb-spec,0,0.310662
0,0,300000,100%,raw-dtlb-walk,"3,412",0.310662
0,0,300000,100%,raw-exc-dabort,0,0.310662
0,0,300000,100%,raw-exc-fiq,0,0.310662
0,0,300000,100%,raw-exc-hvc,0,0.310662
0,0,300000,100%,raw-exc-irq,91,0.311391
0,0,300000,100%,raw-exc-pabort,0,0.311391
0,0,300000,100%,raw-exc-return,"2,204",0.311391
0,0,300000,100%,raw-exc-smc,0,0.311391
0,0,300000,100%,raw-exc-svc,0,0.311391
0,0,300000,100%,raw-exc-taken,"2,204",0.311391
0,0,300000,100%,raw-exc-trap-dabort,0,0.309420
0,0,300000,100%,raw-exc-trap-fiq,0,0.309420
0,0,300000,100%,raw-exc-trap-irq,0,0.309420
0,0,300000,100%,raw-exc-trap-other,0,0.309420
0,0,300000,100%,raw-exc-trap-pabort,0,0.309420
0,0,300000,100%,raw-exc-undef,0,0.309420
0,0,300000,100%,raw-inst-retired,"71,038,485",0.311612
0,0,300000,100%,raw-inst-spec,"71,660,199",0.311612
0,0,300000,100%,raw-isb-spec,0,0.311612
0,0,300000,100%,raw-itlb-walk,"1,236",0.311612
0,0,300000,100%,raw-l1d-cache,"14,584,528",0.311612
0,0,300000,100%,raw-l1d-cache-allocate,0,0.311612
0,0,300000,100%,raw-l1d-cache-inval,0,0.310867
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,0.310867
0,0,300000,100%,raw-l1d-cache-rd,"13,570,152",0.310867
0,0,300000,100%,raw-l1d-cache-refill,"443,769",0.310867
0,0,300000,100%,raw-l1d-cache-refill-inner,"403,278",0.310867
0,0,300000,100%,raw-l1d-cache-refill-outer,"50,061",0.310867
0,0,300000,100%,raw-l1d-cache-refill-rd,"194,502",0.311557
0,0,300000,100%,raw-l1d-cache-refill-wr,"248,745",0.311557
0,0,300000,100%,raw-l1d-cache-wb,"831,824",0.311557
0,0,300000,100%,raw-l1d-cache-wb-clean,0,0.311557
0,0,300000,100%,raw-l1d-cache-wb-victim,0,0.311557
0,0,300000,100%,raw-l1d-cache-wr,"992,731",0.311557
0,0,300000,100%,raw-l1d-tlb,"14,561,464",0.311658
0,0,300000,100%,raw-l1d-tlb-rd,0,0.311658
0,0,300000,100%,raw-l1d-tlb-refill,"363,252",0.311658
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,0.311658
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,0.311658
0,0,300000,100%,raw-l1d-tlb-wr,0,0.311658
0,0,300000,100%,raw-l1i-cache,"41,252,396",0.310802
0,0,300000,100%,raw-l1i-cache-lmiss,0,0.310802
0,0,300000,100%,raw-l1i-cache-refill,"260,061",0.310802
0,0,300000,100%,raw-l1i-tlb,"45,956,265",0.310802
0,0,300000,100%,raw-l1i-tlb-refill,"35,097",0.310802
0,0,300000,100%,raw-l2d-cache,"2,219,419",0.310802
0,0,300000,100%,raw-l2d-cache-allocate,"966,476",0.308220
0,0,300000,100%,raw-l2d-cache-inval,0,0.308220
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,0.308220
0,0,300000,100%,raw-l2d-cache-rd,"1,211,210",0.308220
0,0,300000,100%,raw-l2d-cache-refill,"442,403",0.308220
0,0,300000,100%,raw-l2d-cache-refill-rd,"437,349",0.308220
0,0,300000,100%,raw-l2d-cache-refill-wr,"5,035",0.310460
0,0,300000,100%,raw-l2d-cache-wb,"525,315",0.310460
0,0,300000,100%,raw-l2d-cache-wb-clean,0,0.310460
0,0,300000,100%,raw-l2d-cache-wb-victim,0,0.310460
0,0,300000,100%,raw-l2d-cache-wr,"983,532",0.310460
0,0,300000,100%,raw-l2d-tlb,"431,079",0.310460
0,0,300000,100%,raw-l2d-tlb-rd,0,0.310437
